HGNC ID	Approved Symbol	Ensembl ID(supplied by Ensembl)
HGNC:5	A1BG	ENSG00000121410
HGNC:37133	A1BG-AS1	ENSG00000268895
HGNC:24086	A1CF	ENSG00000148584
HGNC:6	A1S9T~withdrawn	
HGNC:7	A2M	ENSG00000175899
HGNC:27057	A2M-AS1	ENSG00000245105
HGNC:23336	A2ML1	ENSG00000166535
HGNC:41022	A2ML1-AS1	ENSG00000256661
HGNC:41523	A2ML1-AS2	ENSG00000256904
HGNC:8	A2MP1	ENSG00000256069
HGNC:10	A2MRAP~withdrawn	
HGNC:9	A2MR~withdrawn	
HGNC:30005	A3GALT2	ENSG00000184389
HGNC:18149	A4GALT	ENSG00000128274
HGNC:17968	A4GNT	ENSG00000118017
HGNC:1	A12M1~withdrawn	
HGNC:2	A12M2~withdrawn	
HGNC:3	A12M3~withdrawn	
HGNC:4	A12M4~withdrawn	
HGNC:13666	AAAS	ENSG00000094914
HGNC:12	AABT~withdrawn	
HGNC:13	AAC1~withdrawn	
HGNC:14	AAC2~withdrawn	
HGNC:21298	AACS	ENSG00000081760
HGNC:18226	AACSP1	ENSG00000250420
HGNC:13792	AACT~withdrawn	
HGNC:17	AADAC	ENSG00000114771
HGNC:24427	AADACL2	ENSG00000197953
HGNC:50301	AADACL2-AS1	ENSG00000242908
HGNC:32037	AADACL3	ENSG00000188984
HGNC:32038	AADACL4	ENSG00000204518
HGNC:50305	AADACP1	ENSG00000240602
HGNC:17929	AADAT	ENSG00000109576
HGNC:16881	AAED1	ENSG00000158122
HGNC:25662	AAGAB	ENSG00000103591
HGNC:19679	AAK1	ENSG00000115977
HGNC:30205	AAMDC	ENSG00000087884
HGNC:18	AAMP	ENSG00000127837
HGNC:19	AANAT	ENSG00000129673
HGNC:15886	AAR2	ENSG00000131043
HGNC:33842	AARD	ENSG00000205002
HGNC:20	AARS	ENSG00000090861
HGNC:21022	AARS2	ENSG00000124608
HGNC:28417	AARSD1	ENSG00000266967
HGNC:49894	AARSP1	ENSG00000249038
HGNC:23993	AASDH	ENSG00000157426
HGNC:14235	AASDHPPT	ENSG00000149313
HGNC:17366	AASS	ENSG00000008311
HGNC:51526	AATBC	ENSG00000215458
HGNC:19235	AATF	ENSG00000275700
HGNC:21	AATK	ENSG00000181409
HGNC:40053	AATK-AS1	ENSG00000225180
HGNC:22	AAVS1	
HGNC:11	AA~withdrawn	
HGNC:49667	ABALON	ENSG00000281376
HGNC:23	ABAT	ENSG00000183044
HGNC:24	ABC1~withdrawn	
HGNC:25	ABC2~withdrawn	
HGNC:26	ABC3~withdrawn	
HGNC:28	ABC7~withdrawn	
HGNC:27	ABC50~withdrawn	
HGNC:29	ABCA1	ENSG00000165029
HGNC:32	ABCA2	ENSG00000107331
HGNC:33	ABCA3	ENSG00000167972
HGNC:34	ABCA4	ENSG00000198691
HGNC:35	ABCA5	ENSG00000154265
HGNC:36	ABCA6	ENSG00000154262
HGNC:37	ABCA7	ENSG00000064687
HGNC:38	ABCA8	ENSG00000141338
HGNC:39	ABCA9	ENSG00000154258
HGNC:39983	ABCA9-AS1	ENSG00000231749
HGNC:30	ABCA10	ENSG00000154263
HGNC:31	ABCA11P	ENSG00000251595
HGNC:14637	ABCA12	ENSG00000144452
HGNC:14638	ABCA13	ENSG00000179869
HGNC:32972	ABCA17P	ENSG00000238098
HGNC:40	ABCB1	ENSG00000085563
HGNC:11563	ABCB2~withdrawn	
